# list of object assets to load in this scene
[ASSETS]
mario.txt
coin.txt
platform.txt
block.txt
misc.txt
static.txt
goomba.txt
koopa.txt
#
[OBJECTS]
# type	x	y	extra_settings per object type
# type: 0 = Mario , 1 = Brick, 2 = Goomba, 3 = Koopas
# See OBJECT_TYPE constants in AssetIDs.h

# MARIO
0	112	10

# BRICKS
1	7	-4
1	22	-4
1	37	-4
1	52	-4
1	67	-4
1	82	-4
1	97	-4

1	7	11
1	22	11
1	37	11
1	52	11
1	67	11
1	82	11
1	97	11

1	7	26
1	22	26
1	37	26
1	52	26
1	67	26
1	82	26
1	97	26

1	7	41
1	22	41
1	37	41
1	52	41
1	67	41
1	82	41
1	97	41

1	7	56
1	22	56
1	37	56
1	52	56
1	67	56
1	82	56
1	97	56

1	7	71
1	22	71
1	37	71
1	52	71
1	67	71
1	82	71
1	97	71

1	7	86
1	22	86
1	37	86
1	52	86
1	67	86
1	82	86
1	97	86

1	7	101
1	22	101
1	37	101
1	52	101
1	67	101
1	82	101
1	97	101

1	7	116
1	22	116
1	37	116
1	52	116
1	67	116
1	82	116
1	97	116

1	7	131
1	22	131
1	37	131
1	52	131
1	67	131
1	82	131
1	97	131

1	7	146
1	22	146
1	37	146
1	52	146
1	67	146
1	82	146
1	97	146

#the floor
1	7	161
1	22	161
1	37	161
1	52	161
1	67	161
1	82	161
1	97	161
1	112	161
1	127	161
1	142	161
1	157	161
1	172	161
1	187	161
1	202	161
1	217	161
1	232	161
1	247	161
1	262	161
1	277	161
1	292	161
1	307	161
1	322	161
1	337	161
1	352	161
1	367	161
1	382	161
1	397	161
1	412	161
1	427	161
1	442	161
1	457	161
1	472	161



1	7	176
1	22	176
1	37	176
1	52	176
1	67	176
1	82	176
1	97	176
1	112	176
1	127	176
1	142	176
1	157	176
1	172	176
1	187	176
1	202	176
1	217	176
1	232	176
1	247	176
1	262	176
1	277	176
1	292	176
1	307	176
1	322	176
1	337	176
1	352	176
1	367	176
1	382	176
1	397	176
1	412	176
1	427	176
1	442	176
1	457	176
1	472	176



1	232	146
1	247	146
1	262	146
1	277	146
1	292	146
1	307	146
1	322	146
1	337	146
1	352	146
1	367	146
1	382	146
1	397	146
1	412	146
1	427	146
1	442	146
1	457	146
1	472	146

1	247	131
1	262	131
1	277	131
1	292	131
1	307	131
1	322	131
1	337	131
1	352	131
1	367	131
1	382	131
1	397	131
1	412	131
1	427	131
1	442	131
1	457	131
1	472	131

1	262	116
1	277	116
1	292	116
1	307	116
1	322	116
1	337	116
1	352	116
1	367	116
1	382	116
1	397	116
1	412	116
1	427	116
1	442	116
1	457	116
1	472	116

1	277	101
1	292	101
1	307	101
1	322	101
1	337	101
1	352	101
1	367	101
1	382	101
1	397	101
1	412	101
1	427	101
1	442	101
1	457	101
1	472	101

1	292	86
1	307	86
1	322	86
1	337	86
1	352	86
1	367	86
1	382	86
1	397	86
1	412	86
1	427	86
1	442	86
1	457	86
1	472	86

1	307	71
1	322	71
1	337	71
1	352	71
1	367	71
1	382	71
1	397	71
1	412	71
1	427	71
1	442	71
1	457	71
1	472	71

1	352	56
1	367	56
1	382	56
1	397	56
1	412	56
1	427	56
1	442	56
1	457	56
1	472	56

1	352	41
1	367	41
1	382	41
1	397	41
1	412	41
1	427	41
1	442	41
1	457	41
1	472	41

1	352	26
1	367	26
1	382	26
1	397	26
1	412	26
1	427	26
1	442	26
1	457	26
1	472	26

1	352	11
1	367	11
1	382	11
1	397	11
1	412	11
1	427	11
1	442	11
1	457	11
1	472	11

1	352	-4
1	367	-4
1	382	-4
1	397	-4
1	412	-4
1	427	-4
1	442	-4
1	457	-4
1	472	-4

1	307	11
1	292	11
1	277	11
1	262	11
1	247	11
1	232	11
1	217	11
1	202	11
1	187	11
1	172	11
1	157	11
1	142	11

1	307	-4
1	292	-4
1	277	-4
1	262	-4
1	247	-4
1	232	-4
1	217	-4
1	202	-4
1	187	-4
1	172	-4
1	157	-4
1	142	-4

70	329	15
70	120	15

#coin
4	190	52
4	206	36
4	222	36
4	238	52
4	238	68

4	206	84
4	222	84

4	238	100
4	238	116
4	190	116
4	206	132
4	222	132
